ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-04-03,3712.777229303058,3315.5310491751825,3752.8264707566996,3712.777229303058,3712.777229303058,-176.94290545863254,-176.94290545863254,-176.94290545863254,-259.21134,-259.21134,-259.21134,-13.072598863051812,-13.072598863051812,-13.072598863051812,95.34103340441925,95.34103340441925,95.34103340441925,0.0,0.0,0.0,3535.8343238444254
2024-04-04,3710.338349514139,3312.809180820278,3748.2865348576524,3710.338349514139,3710.338349514139,-175.5647570026414,-175.5647570026414,-175.5647570026414,-259.21134,-259.21134,-259.21134,-12.149051670008719,-12.149051670008719,-12.149051670008719,95.79563466736732,95.79563466736732,95.79563466736732,0.0,0.0,0.0,3534.7735925114976
2024-04-05,3707.8994697252197,3322.936315404179,3748.010200403076,3707.8994697252197,3707.8994697252197,-172.3385471021881,-172.3385471021881,-172.3385471021881,-259.21134,-259.21134,-259.21134,-9.345641308480184,-9.345641308480184,-9.345641308480184,96.2184342062921,96.2184342062921,96.2184342062921,0.0,0.0,0.0,3535.5609226230317
2024-04-16,3681.071792047108,3264.2841505228857,3709.2505268630557,3681.071792047108,3681.071792047108,-194.2613454320986,-194.2613454320986,-194.2613454320986,-259.21134,-259.21134,-259.21134,-16.729827186963806,-16.729827186963806,-16.729827186963806,81.67982175486522,81.67982175486522,81.67982175486522,0.0,0.0,0.0,3486.8104466150094
2024-04-17,3678.6329122581883,3259.181196229943,3693.182697861329,3678.6329122581883,3678.6329122581883,-194.85249072710505,-194.85249072710505,-194.85249072710505,-259.21134,-259.21134,-259.21134,-13.072598863045721,-13.072598863045721,-13.072598863045721,77.4314481359407,77.4314481359407,77.4314481359407,0.0,0.0,0.0,3483.7804215310834
2024-04-18,3676.194032469269,3262.747364590696,3693.3167412165694,3676.194032469269,3676.194032469269,-198.77384814399738,-198.77384814399738,-198.77384814399738,-259.21134,-259.21134,-259.21134,-12.149051670013451,-12.149051670013451,-12.149051670013451,72.5865435260161,72.5865435260161,72.5865435260161,0.0,0.0,0.0,3477.4201843252717
2024-04-19,3673.7551526803495,3266.826493838843,3681.147938957098,3673.7551526803495,3673.7551526803495,-201.41187888805075,-201.41187888805075,-201.41187888805075,-259.21134,-259.21134,-259.21134,-9.34564130854918,-9.34564130854918,-9.34564130854918,67.14510242049845,67.14510242049845,67.14510242049845,0.0,0.0,0.0,3472.3432737922985
2024-04-22,3666.4385133135916,3221.155443427591,3654.4714618161106,3666.4385133135916,3666.4385133135916,-225.35398677952307,-225.35398677952307,-225.35398677952307,-259.21134,-259.21134,-259.21134,-13.505631606454436,-13.505631606454436,-13.505631606454436,47.362984826931395,47.362984826931395,47.362984826931395,0.0,0.0,0.0,3441.0845265340686
2024-04-23,3663.9996335246724,3220.9629997109987,3631.9038088980315,3663.9996335246724,3663.9996335246724,-236.2434980968657,-236.2434980968657,-236.2434980968657,-259.21134,-259.21134,-259.21134,-16.729827186964705,-16.729827186964705,-16.729827186964705,39.69766909009902,39.69766909009902,39.69766909009902,0.0,0.0,0.0,3427.756135427807
2024-04-24,3661.5607537357537,3189.5159045565742,3632.348157509665,3661.5607537357537,3661.5607537357537,-240.72640368824528,-240.72640368824528,-240.72640368824528,-259.21134,-259.21134,-259.21134,-13.072598863042678,-13.072598863042678,-13.072598863042678,31.557535174797376,31.557535174797376,31.557535174797376,0.0,0.0,0.0,3420.8343500475085
2024-04-25,3659.121873946834,3201.3570361514608,3629.341388659749,3659.121873946834,3659.121873946834,-248.36967107910954,-248.36967107910954,-248.36967107910954,-259.21134,-259.21134,-259.21134,-12.149051669969685,-12.149051669969685,-12.149051669969685,22.99072059086016,22.99072059086016,22.99072059086016,0.0,0.0,0.0,3410.7522028677245
2024-04-26,3656.6829941579144,3188.923512292814,3593.6310753811285,3656.6829941579144,3656.6829941579144,-254.50436521506177,-254.50436521506177,-254.50436521506177,-259.21134,-259.21134,-259.21134,-9.345641308546982,-9.345641308546982,-9.345641308546982,14.052616093485243,14.052616093485243,14.052616093485243,0.0,0.0,0.0,3402.178628942853
2024-04-29,3649.3663547911565,3156.088352773443,3583.9331253491246,3649.3663547911565,3649.3663547911565,-287.055546938024,-287.055546938024,-287.055546938024,-259.21134,-259.21134,-259.21134,-13.505631606368171,-13.505631606368171,-13.505631606368171,-14.338575331655834,-14.338575331655834,-14.338575331655834,0.0,0.0,0.0,3362.3108078531322
2024-04-30,3646.9274750022373,3140.688125857056,3573.9827039414185,3646.9274750022373,3646.9274750022373,-300.02491349550553,-300.02491349550553,-300.02491349550553,-259.21134,-259.21134,-259.21134,-16.72982718699909,-16.72982718699909,-16.72982718699909,-24.08374630850645,-24.08374630850645,-24.08374630850645,0.0,0.0,0.0,3346.9025615067317
2024-05-02,3642.0497154243994,3112.7990731882496,3542.651927977913,3642.0497154243994,3642.0497154243994,-314.87510188796244,-314.87510188796244,-314.87510188796244,-259.21134,-259.21134,-259.21134,-12.149051669996878,-12.149051669996878,-12.149051669996878,-43.51471021796554,-43.51471021796554,-43.51471021796554,0.0,0.0,0.0,3327.174613536437
2024-05-03,3639.6108356354794,3094.4092879652326,3531.1244693202825,3639.6108356354794,3639.6108356354794,-321.5889394962524,-321.5889394962524,-321.5889394962524,-259.21134,-259.21134,-259.21134,-9.345641308490398,-9.345641308490398,-9.345641308490398,-53.031958187762,-53.031958187762,-53.031958187762,0.0,0.0,0.0,3318.021896139227
