ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-04,2447.8617701907842,2365.3025229340424,2729.9252301200995,2447.8617701907842,2447.8617701907842,101.82123505931051,101.82123505931051,101.82123505931051,-93.6671688,-93.6671688,-93.6671688,-9.956461490977786,-9.956461490977786,-9.956461490977786,205.4448653502883,205.4448653502883,205.4448653502883,0.0,0.0,0.0,2549.6830052500945
2023-12-05,2451.5796066636663,2375.083311163185,2757.4226954037786,2451.5796066636663,2451.5796066636663,118.4859027720832,118.4859027720832,118.4859027720832,-93.6671688,-93.6671688,-93.6671688,-2.199753463806244,-2.199753463806244,-2.199753463806244,214.35282503588942,214.35282503588942,214.35282503588942,0.0,0.0,0.0,2570.0655094357494
2023-12-06,2455.2974431365506,2390.024903251326,2776.4499421436963,2455.2974431365506,2455.2974431365506,127.8658270354333,127.8658270354333,127.8658270354333,-93.6671688,-93.6671688,-93.6671688,-1.6843313780607991,-1.6843313780607991,-1.6843313780607991,223.21732721349406,223.21732721349406,223.21732721349406,0.0,0.0,0.0,2583.1632701719836
2023-12-07,2459.015279609434,2412.103258182959,2779.45896915156,2459.015279609434,2459.015279609434,133.98380548588838,133.98380548588838,133.98380548588838,-93.6671688,-93.6671688,-93.6671688,-4.270588020008645,-4.270588020008645,-4.270588020008645,231.921562305897,231.921562305897,231.921562305897,0.0,0.0,0.0,2592.9990850953222
2023-12-08,2462.733116082316,2412.5241103225544,2800.3721671705257,2462.733116082316,2462.733116082316,141.37110017229423,141.37110017229423,141.37110017229423,-93.6671688,-93.6671688,-93.6671688,-5.30568928375101,-5.30568928375101,-5.30568928375101,240.34395825604523,240.34395825604523,240.34395825604523,0.0,0.0,0.0,2604.10421625461
2023-12-11,2473.8866255009657,2447.3831351334197,2811.4455524549985,2473.8866255009657,2473.8866255009657,159.06131203107034,159.06131203107034,159.06131203107034,-93.6671688,-93.6671688,-93.6671688,-9.956461490976706,-9.956461490976706,-9.956461490976706,262.684942322047,262.684942322047,262.684942322047,0.0,0.0,0.0,2632.947937532036
2023-12-12,2477.604461973849,2463.8704336776063,2841.171069735222,2477.604461973849,2477.604461973849,172.89002516655273,172.89002516655273,172.89002516655273,-93.6671688,-93.6671688,-93.6671688,-2.1997534638411715,-2.1997534638411715,-2.1997534638411715,268.7569474303939,268.7569474303939,268.7569474303939,0.0,0.0,0.0,2650.494487140402
2023-12-13,2481.322298446732,2483.4431278242723,2853.11539594387,2481.322298446732,2481.322298446732,178.6057283918874,178.6057283918874,178.6057283918874,-93.6671688,-93.6671688,-93.6671688,-1.6843313780596263,-1.6843313780596263,-1.6843313780596263,273.957228569947,273.957228569947,273.957228569947,0.0,0.0,0.0,2659.928026838619
2023-12-14,2485.0401349196154,2458.2491894152645,2851.2171708962264,2485.0401349196154,2485.0401349196154,180.2523564959806,180.2523564959806,180.2523564959806,-93.6671688,-93.6671688,-93.6671688,-4.2705880200009165,-4.2705880200009165,-4.2705880200009165,278.1901133159815,278.1901133159815,278.1901133159815,0.0,0.0,0.0,2665.292491415596
2023-12-15,2488.7579713924983,2495.080062542804,2863.708956852767,2488.7579713924983,2488.7579713924983,182.40036008817475,182.40036008817475,182.40036008817475,-93.6671688,-93.6671688,-93.6671688,-5.305689283758669,-5.305689283758669,-5.305689283758669,281.3732181719334,281.3732181719334,281.3732181719334,0.0,0.0,0.0,2671.158331480673
2023-12-18,2499.911480811148,2510.6103594541755,2864.751887645072,2499.911480811148,2499.911480811148,180.416627615371,180.416627615371,180.416627615371,-93.6671688,-93.6671688,-93.6671688,-9.956461490998265,-9.956461490998265,-9.956461490998265,284.0402579063693,284.0402579063693,284.0402579063693,0.0,0.0,0.0,2680.328108426519
2023-12-19,2503.6293172840305,2501.4732978395637,2875.4830448443695,2503.6293172840305,2503.6293172840305,186.6639066009676,186.6639066009676,186.6639066009676,-93.6671688,-93.6671688,-93.6671688,-2.1997534638323124,-2.1997534638323124,-2.1997534638323124,282.5308288647999,282.5308288647999,282.5308288647999,0.0,0.0,0.0,2690.293223884998
2023-12-20,2507.3471537569144,2511.9621724918543,2884.140823745543,2507.3471537569144,2507.3471537569144,184.46658861701795,184.46658861701795,184.46658861701795,-93.6671688,-93.6671688,-93.6671688,-1.68433137806788,-1.68433137806788,-1.68433137806788,279.81808879508577,279.81808879508577,279.81808879508577,0.0,0.0,0.0,2691.813742373932
2023-12-21,2511.064990229797,2499.258220208072,2866.214159888148,2511.064990229797,2511.064990229797,177.99112427250742,177.99112427250742,177.99112427250742,-93.6671688,-93.6671688,-93.6671688,-4.270588020011227,-4.270588020011227,-4.270588020011227,275.9288810925186,275.9288810925186,275.9288810925186,0.0,0.0,0.0,2689.0561145023044
